date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:58	37388/37388	---M-Z	200	added ('OK')	text/html	etag:W/%22617ac289-920c%22	https://getbootstrap.com/docs/5.0/extend/icons/	/home/batyr/websites/New%20Bootstrap/getbootstrap.com/docs/5.0/extend/icons/index.html	(from )
15:29:29	70175/70175	---M-Z	200	added ('OK')	text/html	etag:W/%22617ac289-1121f%22	https://getbootstrap.com/docs/5.0/utilities/text/	/home/batyr/websites/New%20Bootstrap/getbootstrap.com/docs/5.0/utilities/text/index.html	(from )
15:29:32	38130/38130	---M-Z	200	added ('OK')	text/html	etag:W/%22617ac289-94f2%22	https://getbootstrap.com/docs/5.0/utilities/visibility/	/home/batyr/websites/New%20Bootstrap/getbootstrap.com/docs/5.0/utilities/visibility/index.html	(from )
15:29:33	39203/39203	---M-Z	200	added ('OK')	text/html	etag:W/%22617ac289-9923%22	https://getbootstrap.com/docs/5.0/about/team/	/home/batyr/websites/New%20Bootstrap/getbootstrap.com/docs/5.0/about/team/index.html	(from )
15:29:34	37416/37416	---M-Z	200	added ('OK')	text/html	etag:W/%22617ac289-9228%22	https://getbootstrap.com/docs/5.0/about/brand/	/home/batyr/websites/New%20Bootstrap/getbootstrap.com/docs/5.0/about/brand/index.html	(from )
15:29:34	36970/36970	---M-Z	200	added ('OK')	text/html	etag:W/%22617ac289-906a%22	https://getbootstrap.com/docs/5.0/about/license/	/home/batyr/websites/New%20Bootstrap/getbootstrap.com/docs/5.0/about/license/index.html	(from )
15:29:35	36547/36547	---M-Z	200	added ('OK')	text/html	etag:W/%22617ac289-8ec3%22	https://getbootstrap.com/docs/5.0/about/translations/	/home/batyr/websites/New%20Bootstrap/getbootstrap.com/docs/5.0/about/translations/index.html	(from )
15:29:36	50626/50626	---M-Z	200	added ('OK')	text/html	etag:W/%22617ac289-c5c2%22	https://getbootstrap.com/docs/5.0/getting-started/introduction/	/home/batyr/websites/New%20Bootstrap/getbootstrap.com/docs/5.0/getting-started/introduction/index.html	(from )
15:29:38	45408/45408	---M-Z	200	added ('OK')	text/html	etag:W/%22617ac289-b160%22	https://getbootstrap.com/docs/5.0/getting-started/download/	/home/batyr/websites/New%20Bootstrap/getbootstrap.com/docs/5.0/getting-started/download/index.html	(from )
15:29:40	43094/43094	---M-Z	200	added ('OK')	text/html	etag:W/%22617ac289-a856%22	https://getbootstrap.com/docs/5.0/getting-started/contents/	/home/batyr/websites/New%20Bootstrap/getbootstrap.com/docs/5.0/getting-started/contents/index.html	(from )
